cod_ine,nombre,direccion,telf_alcaldia,telf_concejo,fax,email,web,latitud,longitud
10101,Sucre,Plaza 25 de Mayo Nº 1,4-6451074 4-6440926,,,,,-19.04651959,-65.26016794
10102,Yotala,Plaza 25 de Mayo Nº 1,4-6430590,,4-6430590,,,-19.16208501,-65.264379714
10103,Poroma,Plaza 25 de Mayo ,,,,,,-18.537912393,-65.425041422
10201,Villa Azurduy,Calle Alberto Salinas s/n esq. Plaza 14 de Marzo,46939104,,46939104,,,-20.105651642,-64.413586386
10202,Tarvita,Calle Manuel Asencio Padilla s/n,46939843,,46939843,,,-19.926034706,-64.483608488
10301,Villa Zudañez,Plaza 6 de Agosto s/n,46936116,,46936116,,,-19.119781885,-64.698895727
10302,Presto,Plaza 14 de Enero Nº 1,,,,,,-18.930181628,-64.936970297
10303,Villa Mojocoya,Plaza 2 de Agosto s/n,,,,,,-18.763363538,-64.617900413
10304,Icla,Plaza Principal 10 de diciembre,,,,,,-19.363430097,-64.793112491
10401,Padilla,Plaza Manuel Ascencio Padilla s/n,4-6936007,,4-6936007,,,-19.307310645,-64.301972793
10402,Tomina,Av. San Pablo esq. Avaroa Nº 1,4-6936098,,4-6936098,,,-19.185425,-64.46060229
10403,Sopachuy,Plaza Guillermo Cueto,4-6936052,,4-6936052,,,-19.48701914,-64.474730546
10404,Villa Alcalá,Plaza 25 de Mayo s/n,46936042,,46936042,,,-19.366277875,-64.389300742
10405,El Villar,Calle Avaroa esq. 14 de Septiembre,46932041,,46932041,,,-19.628835196,-64.309608576
10501,Monteagudo,Calle Saúl Aldenur esq. Sucre s/n,46472224,,46472228,,,-19.79989265,-63.954767496
10502,San Pablo de Huacareta,Plaza 21 de Septiembre s/n,46479212,,46479212,,,-20.366775718,-64.002738775
10601,Tarabuco,Calle 1 ro de Mayo esq. Potosí,46936074,,,,,-19.181146374,-64.915421057
10602,Yamparáez,Calle Sucre s/n,46936104,,46936104,,,-19.189121435,-65.1181038
10701,Camargo,Calle Bolívar Nº 10,46292018,,46292017,,,-20.640628323,-65.210043707
10702,San Lucas,Plaza Trigo Arce s/n,46937890,,46937890,,,-20.101980489,-65.133564078
10703,Incahuasi,Calle Junín Plaza del Inca s/n,46937724,,46937724,,,-20.78370037,-64.867332924
10704,Villa Charcas,"Plaza Julio Andia, Calle otoestraus s/n",4-6937689,,,,,,
10801,Villa Serrano,Calle Potosí esq. 6 de Agosto,46936033,,46936033,,,-19.123214169,-64.323262336
10901,Camataqui (Villa Abecia),"Plaza 25 de Mayo, Calle Avaroa s/n",46937677,,46937677,,,-20.973967501,-65.231008307
10902,Culpina,Plaza 10 de Diciembre s/n,46937615,,4-6937615,,,-20.823511845,-64.943382416
10903,Las Carreras,Plaza 15 de febrero s/n,46937650,,46937650,,,-21.211126018,-65.207187058
11001,Villa Vaca Guzmán (Muyupampa),Plaza 6 de Agosto s/n,46479234,,46479233,,,-19.893232546,-63.748670185
11002,Huacaya,Calle Comercio s/n,46933509,,,,,-20.743663068,-63.664651378
11003,Macharetí,Calle 25 de Mayo s/n esq. 16 de Julio,46937660,,46937660,,,-20.814572643,-63.361192406
20101,La Paz,Calle Mercado y Colón Nº 1298,2202000 2650000,,,,,-16.493610095,-68.134691025
20102,Palca,Plaza Pedro Domingo Murillo,2-2700122 2700142,,,,,-16.560943127,-67.952814701
20103,Mecapaca,Plaza Simona Manzaneda s/n,2-2749042,,,,,-16.665694465,-68.027661065
20104,Achocalla,,2-2890084 2890099,,,,,-16.574501002,-68.166733074
20105,El Alto,"Av. 6 de Marzo, Calle 11 antes de la Aduana",2-2829198 2829272,,2-2829434,,,-16.494680203,-68.173394956
20201,Achacachi,Plaza Mariscal Santa Cruz s/n,2136503,,2-2136503,,,-16.043286928,-68.685281851
20202,Ancoraimes,Pla. 6 de Agosto,2-2136528,,,,,-15.897132624,-68.906967212
20203,Chua Cocani,,,,,,,,
20204,Huarina,Plaza Principal de Huarina s/n,2-2139767,,,,,-16.19121,-68.60027
20205,Santiago de Huata,Plaza Pirncipal esq. bajada hacia el Lago,2-2895211,,,,,,
20206,Huatajata,,,,,,,,
20301,Coro Coro,Plaza 15 de Agosto s/n,,,2-2134365,,,-17.178161419,-68.453093217
20302,Caquiaviri,Plaza Melchor León de la Barra s/n,2-2227542,,,,,-17.023274381,-68.607004945
20303,Calacoto,Plaza 15 de Agosto s/n,,,,,,-17.283191215,-68.636370162
20304,Comanche,Plaza 15 de Agosto s/n,,,,,,-16.956760353,-68.427649489
20305,Charaña,Plaza 6 de Agosto s/n,,,2-2135554,,,-17.593935446,-69.446114189
20306,Waldo Ballivián,Plaza Principal,,,,,,-17.082819407,-68.186255757
20307,Nazacara de Pacajes,Plaza 24 de Septiembre s/n,,,,,,-16.937332764,-68.764397242
20308,Santiago de Callapa,Plaza Principal s/n,,,,,,-17.479588741,-68.355644448
20401,Puerto Acosta,Plaza 5 de Noviembre s/n,,,,,,-15.53298067,-69.252206166
20402,Mocomoco,Plaza Central Mocomoco s/n,,,,,,-15.455732364,-68.996394358
20403,Puerto Carabuco,Plaza 3 de Mayo s/n,,,,,,-15.758208895,-69.063874647
20404,Humanata,Plaza Francisco s/n,2-2227542,,,,,,
20405,Escoma,Plaza 30 de abril s/n,2-2133023,,,,,,
20501,Chuma,Plaza Principal de Chuma,,,,,,-15.479623439,-68.898518824
20502,Ayata,,,,,,,-15.459248947,-68.834701053
20503,Aucapata,Plaza Idelfonzo de las Muñecas s/n,,,,,,-15.479417991,-68.718922022
20601,Sorata,Plaza principal Gral. Enrique Peñaranda s/n,,,,,,-15.773249234,-68.649387874
20602,Guanay,Plaza Gualberto Villarroel Nº 1,2-2136282,,2-2136205,,,-15.495946836,-67.882632174
20603,Tacacoma,Plaza 21 de Noviembre s/n,,,,,,-15.58939688,-68.645240112
20604,Quiabaya,Plaza Quiabaya s/n,,,,,,-15.632848152,-68.703181577
20605,Combaya,Plaza 14 de septiembre Nº100,,,,,,-15.80527169,-68.754760669
20606,Tipuani,Plaza El Minero Nº1,,,2-2136264,,,-15.565076743,-68.020798456
20607,Mapiri,Plaza 16 de Julio s/n.,,,,,,-15.310308397,-68.226818614
20608,Teoponte,Plaza Principal.,2-2896260,,2-2896260,,,-15.495700549,-67.817525133
20701,Apolo,Plaza Bolivar Nº 45,2-33199 2134290,,2-2333199,,,-14.717410525,-68.418039292
20702,Pelechuco,Plaza 25 de Julio s/n,,,,,,-14.820212719,-69.070213666
20801,Viacha,Plaza Principal José Ballivian s/n,2-2800006 2800105,,2-2800130,,,-16.653688867,-68.301563133
20802,Guaqui,"Puerto de Guaqui s/n, final calle Ballivián",2-2136606,,,,,-16.598438106,-68.836605317
20803,Tiahuanacu,Plaza 14 de Septiembre s/n,2-2895102,,2-2895102,,,-16.552943297,-68.681141313
20804,Desaguadero,"Plaza 9 de Noviembre, Av. 16 de Julio",2-2136568,,2-2136568,,,-16.566492574,-69.035322201
20805,San Andrés de Machaca,Plaza Principal,,,,,,-16.953401714,-68.968603523
20806,Jesús de Machaca,"Ex Colegio, frente al Cemento",,,,,,-16.744249189,-68.807240086
20807,Taraco,Plaza Principal,2-2895300,,,,,,
20901,Luribay,Plaza José Manuel Pando s/n,,,,,,-17.062512069,-67.661242261
20902,Sapahaqui,Plaza Sapahaqui s/n,,,,,,-16.888535134,-67.949628417
20903,Yaco,Plaza de Armas s/n,,,,,,-17.157969176,-67.410692811
20904,Malla,Plaza Murillo Nº 21,,,,,,-17.040112167,-67.450582926
20905,Cairoma,Plaza 16 de Julio s/n/,,,,,,-16.903466416,-67.53998815
21001,Inquisivi,Plaza Murillo s/n,,,,,,-16.907745409,-67.138330951
21002,Quime,Plaza 6 de Agosto s/n,2-2135644,,2-2136645,,,-16.981410277,-67.217917242
21003,Cajuata,Plaza Principal de Cajuata s/n.,,,,,,-16.699016339,-67.172648141
21004,Colquiri,Zona Huayrapata s/n,,,2-2136889,,,-17.387683307,-67.128681428
21005,Ichoca,Plaza 14 de Septiembre s/n,,,,,,-17.139833294,-67.187476809
21006,Licoma Pampa,Av. Bush s/n,,,,,,-16.805689274,-67.202088823
21101,Chulumani,Plaza Libertad esq. Calle Pando s/n,2-2136120,,2-2136221,,,-16.409357987,-67.525732119
21102,Irupana,Plaza Victorio Lanza s/n,2-2896113 2896112,,2-2896113,,,-16.465799008,-67.454647301
21103,Yanacachi,Plaza Libertad s/n,2-2896083 2148836,,,,,-16.390542048,-67.735261203
21104,Palos Blancos,Plaza de Armas 20 de Junio s/n,,,,,,-15.584800367,-67.24798401
21105,La Asunta,Plaza 24 de Septiembre s/n,,,,,,-16.12433636,-67.194624238
21201,Pucarani,Plaza Franz Tamayo s/n,2-2895164,,,,,-16.399271323,-68.477478299
21202,Laja,Plaza Alonzo de Mendoza s/n,,,,,,-16.536533689,-68.385518225
21203,Batallas,Plaza René Barrientos s/n,2-2895743,,2-2895143,,,-16.299578561,-68.531634767
21204,Puerto Pérez,Plaza Juán José Pérez s/n,,,,,,-16.284857613,-68.601039517
21301,Sica Sica,"Plaza 14 de Noviembre, acera este s/n",2-2136663,,,,,-17.333670631,-67.740906351
21302,Umala,Plaza 16 de Julio s/n,2-2486770,,2-2486770,,,-17.373317414,-68.021433069
21303,Ayo Ayo,Plaza Tupac Katari s/n,,,,,,-17.091386781,-68.003628455
21304,Calamarca,Av. 6 de agosto s/n esq. Bolívar,,,82323449 8232226,,,-16.909779388,-68.11903749
21305,Patacamaya,Plaza de Armas 15 de Agosto Nº 1,2-8392422 8392638,,2-8392422,,,-17.240942768,-67.928109855
21306,Colquencha,Plaza 15 de Agosto s/n,,,,,,-16.931291405,-68.248754248
21307,Collana,Plaza Gualberto Villarroel s/n,2-2136534,,,,,-16.904683652,-68.284232087
21401,Coroico,Plaza Manuel Victorio Lanza s/n,2-2136228,,2-2895514,,,-16.18818248,-67.727536308
21402,Coripata,Calle Julio Gutiérrez Vera s/n,2-2896150,,2-2896150,,,-16.314489397,-67.606880748
21501,Ixiamas,Plaza Principal s/n,2-8257106,,2-8257106,,,-13.767800375,-68.125135626
21502,San Buenaventura,Plaza Pedro Domingo Murillo s/n,3-8922437,,,,,-14.438159693,-67.536588289
21601,Gral. Juan José Perez (Charazani),Plaza 16 de Julio s/n.,,,,,,-15.177296618,-68.994643808
21602,Curva,Plaza 2 de Febrero s/n.,,,2-2137424,,,-15.131127902,-68.999245388
21701,Copacabana,Plaza 2 de Febrero s/n,2-8622624 8622002 8622123,,,,,-16.165466368,-69.086934031
21702,San Pedro de Tiquina,Calle 4 de Octubre,,,2-2380632,,,-16.221504027,-68.853940155
21703,Tito Yupanqui,Zona Campamento s/n,,,,,,-16.188882685,-68.954706308
21801,San Pedro de Curahuara,,Plaza Principal,,,,,-17.654491486,-68.050046788
21802,Papel Pampa,Plaza Papel Pampa s/n,,,,,,-17.81934913,-67.769663192
21803,Chacarilla,Plaza Principal s/n,,,2-2137430,,,-17.583826248,-68.21591069
21901,Santiago de Machaca,Plaza Principal,,,,,,-17.066647167,-69.193280275
21902,Catacora,Plaza Principal s/n.,,,,,,-17.161011835,-69.483259846
22001,Caranavi,Plaza Libertador s/n.,2-8232297 8232226 8232349,,2-8232233 8232226,,,-15.833387338,-67.566327221
22002,Alto Beni,Localidad Villa Unificada,2-2137358,,,,,-15.5452427895,-67.4497107863
30101,Cochabamba,"Plaza Principal 14 de Septiembre, acera oeste Nº 210","4258030, 4258038, 4425530",,,,,-17.381460432,-66.158775354
30201,Aiquile,Calle Sucre s/n,4-4343303 4343302,,4-4343301,,,-18.201710589,-65.18007821
30202,Pasorapa,Plaza 5 de Mayo s/n,4-4137044 4982525,,4-4137044,,,-18.321609892,-64.674900612
30203,Omereque,Plaza 7 de Octubre esq. Calle Bolívar,4-4136519,,4-4136519,,,-18.108284741,-64.908382199
30301,Independencia,"Plaza 6 de Agosto, acera sur",4-4136192 4400615,,4-4136192,,,-17.08393807,-66.817675617
30302,Morochata,Calle Final Costantino Merelle s/n,4-4364786,,4-4364716,,,-17.234620429,-66.531899311
30303,Cocapata,Localidad de Cocapata,4-368962 4693584,,4368962,,,,
30401,Tarata,Plaza Aroma Nº 9,4-4578082,,4-4578026,,,-17.613014347,-66.024189911
30402,Anzaldo,Plaza 20 de Octubre s/n,4-4136516 44136585,,4-4136516,,,-17.78342623,-65.935700084
30403,Arbieto,,,,,,,-17.58174234,-66.015304142
30404,Sacabamba,"Plaza 25 de Abril, acera norte s/n",4-4139295,,,,,-17.811744602,-65.776497445
30501,Arani,"Plaza 24 de Noviembre, acera norte s/n",4-4576251 4576251,,4-4576251,,,-17.572768619,-65.770402912
30502,Vacas,Plaza 4 de Diciembre s/n,4-4511819 4136486,,4-4136486,,,-17.575328507,-65.580254493
30601,Arque,Plaza 6 de Agosto s/n Calle La Paz,4-4138006 4138007,,4-4410340,,,-17.821320738,-66.401752818
30602,Tacopaya,Carretera La Paz Km 101 entrando al sud 30 km.,4-4410261,,4-4410261,,,-17.837402923,-66.534660024
30701,Capinota,"Plaza 1 de Octubre, acera norte Nº 1",4-4388329 4389014,,4-4389007 4389005,,,-17.7160085,-66.263040062
30702,Santivañez,Plaza Bartolomé Guzmán,4-4780071 4780177,,4-4780071,,,-17.550364513,-66.248010855
30703,Sicaya,Plaza 27 de Agosto s/n,4-4321530,,4-4321530,,,-17.800568105,-66.333813437
30801,Cliza,"Plaza 21 de Septiembre, acera este s/n",44575448/4575029,,4-4575028 ,,,-17.591631993,-65.93401616
30802,Toco,Plaza 3 de Abril s/n,4-4574179,,4-4574521,,,-17.625428554,-65.929061635
30803,Tolata,"Plaza Principal, acera oeste s/n",4-4575510 4575509,,4-4575682,,,-17.53390908,-65.962602867
30901,Quillacollo,"Plaza 6 de Agosto, acera este S/N",4-4260095 4260097,,4-4260096,,,-17.395482717,-66.279788287
30902,Sipe Sipe,"Plaza 30 de Abril, acera sur Nº 78",4-4381932,,4-4381932,,,-17.45419465,-66.354225584
30903,Tiquipaya,"Plaza 23 de Septiembre, acera norte s/n",4-4317185 4315363,,4-4315363 4317010,,,-17.33812628,-66.219582259
30904,Vinto,"Av. Albina Patiño Km. 17 1/2, acera sud s/n",4-4260150,,4-4263706,,,-17.382402467,-66.316449672
30905,Colcapirhua,"Plaza 15 de Abril s/n, Av. Blanco Galindo, Km. 9",4-4269985 4371098 4269983,,4-4269984,,,-17.38956588,-66.241266669
31001,Sacaba,"Plaza 6 de Agosto, acera este s/n",4-4702301 4708076,,4-470826,,,-17.402120382,-66.039123997
31002,Colomi,,4340640,,4340640,,,-17.33783026,-65.867575858
31003,Villa Tunari,"Plaza El Colonizador, acera sud s/n",4-4136521,,4-4136525,,,-16.973047659,-65.419600769
31101,Tapacarí,Plaza Tapacarí s/n,4376711 44135679,,4-4376711 44135679,,,-17.521161394,-66.616445411
31201,Totora,"Plaza Ladislao Cabrera, acera oeste",4-4341002,,44136525,,,-17.736503821,-65.191164957
31202,Pojo,"Plaza 27 de Mayo, acera noroeste s/n",4-4139551 4504631,,4-4139551,,,-17.757581795,-64.865646758
31203,Pocona,Plaza el Quigueñal s/n,4-4136319,,4-4136319,,,-17.675209531,-65.419950295
31204,Chimoré,Plaza 14 de Septiembre s/n,4-4136218 4136244,,4-4136218,,,-16.994429017,-65.150916159
31205,Puerto Villarroel,Plaza 2 de Agosto s/n (Ivirgarzama),4-4136281,,4-4136281,,,-16.83879181,-64.793330341
31206,Entre Ríos (Bulo Bulo),"Plaza 24 de Septiembre, acera oeste, s/n",44136175,,4136482,,,-17.260000431,-64.348377861
31301,Mizque,"Plaza Héroes de la Independencia, acera oeste s/n",4-4342041 4342042,,4-4342041 4342040,,,-17.943033096,-65.342837445
31302,Vila Vila,Plaza Principal s/n,,,,,,-17.981653636,-65.631775076
31303,Alalay,Plaza 21 de Febrero s/n,4-450562,,4-4224646,,,-17.701445174,-65.699215536
31401,Punata,"Plaza 18 de Mayo, acera norte s/n",4-4572685 4572088,,4-4577934,,,-17.546135629,-65.838481968
31402,Villa Rivero,Plaza Gualberto Villarroel s/n,4-4570608,,4-4570609,,,-17.616305025,-65.812841277
31403,San Benito,Plaza Benito Moxos s/n,4-4579146 4579260,,4-4579147,,,-17.522698686,-65.894407819
31404,Tacachi,Sede Sindical de Huanacota,4-4256852 4570721,,4-4256852,,,-17.641932223,-65.801244669
31405,Cuchumuela (Villa Gualberto Villarroel),Plazuela 11 de Diciembre s/n,4-4570544 4570573,,4-4570544,,,-17.665837189,-65.795717219
31501,Bolívar,Plaza 6 de Agosto s/n,4-4448384,,4-4411734,,,-17.97007432,-66.537037997
31601,Tiraque,Plaza Principal 10 de Octubre,4-4570026,,4-4570027,,,-17.427383542,-65.723629714
31602,Shinahota,"Plaza Chimore, acera este",4-4136409,,,,,,
40101,Oruro,"Plaza 10 de Febrero, acera Sur s/n",2-5250025 5250022,,2-5252666,,,-17.967758518,-67.11207277
40102,Caracollo,Plaza 14 de septiembre,2-5290001 5290002,,2-5290001,,,-17.643245196,-67.21271
40103,El Choro,Plaza Simón Bolivar s/n,,,,,,-18.357338601,-67.115623154
40104,Soracachi (Paria),Plaza 19 de Marzo,,,,,,-17.817316986,-67.021719651
40201,Challapata,Calle Bolivar y Ejército Nº 613,2-5572080 5572250,,,,,-18.900820326,-66.774692844
40202,Santuario de Quillacas,Plaza 14 de septiembre,,,,,,-19.233169864,-66.942413405
40301,Corque,Plaza 24 de Junio,2-5136150,,,,,-18.351017001,-67.681877198
40302,Choquecota,Plaza 8 de Diciembre s/n,2-5136096,,,,,-18.09837456,-67.895525717
40401,Curahuara de Carangas,"Plaza 6 de Agosto s/n, German Busch",,,,,,-17.842346726,-68.410051913
40402,Turco,"Plaza 29 de Junio, Av. Martín Quispe s/n",,,,,,-18.180721256,-68.193562411
